customerID;Churn;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;Charges.Monthly;Charges.Total
0002-ORFBO;No;Female;0;Yes;Yes;9;Yes;No;DSL;No;Yes;No;Yes;Yes;No;One year;Yes;Mailed check;656;5933
0003-MKNFE;No;Male;0;No;No;9;Yes;Yes;DSL;No;No;No;No;No;Yes;Month-to-month;No;Mailed check;599;5424
0004-TLHLJ;Yes;Male;0;No;No;4;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;739;28085
0011-IGKFF;Yes;Male;1;Yes;No;13;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;980;123785
0013-EXCHZ;Yes;Female;1;Yes;No;3;Yes;No;Fiber optic;No;No;No;Yes;Yes;No;Month-to-month;Yes;Mailed check;839;2674
0013-MHZWF;No;Female;0;No;Yes;9;Yes;No;DSL;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);694;57145
0013-SMEOE;No;Female;1;Yes;No;71;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);1097;790425
0014-BMAQU;No;Male;0;Yes;No;63;Yes;Yes;Fiber optic;Yes;No;No;Yes;No;No;Two year;Yes;Credit card (automatic);8465;53778
0015-UOCOJ;No;Female;1;No;No;7;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;482;34035
0016-QLJIS;No;Female;0;Yes;Yes;65;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Mailed check;9045;59579
0017-DINOC;No;Male;0;No;No;54;No;No phone service;DSL;Yes;No;No;Yes;Yes;No;Two year;No;Credit card (automatic);452;246055
0017-IUDMW;No;Female;0;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);1168;845675
