customerID;Churn;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;Charges.Monthly;Charges.Total
0001-ORFBO;No;Female;0;Yes;Yes;9;Yes;No;DSL;No;Yes;No;Yes;Yes;No;One year;Yes;Mailed check;656;5933
0002-MKNFE;No;Male;0;No;No;9;Yes;Yes;DSL;No;No;No;No;No;Yes;Month-to-month;No;Mailed check;599;5424
0003-TLHLJ;Yes;Male;0;No;No;4;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;739;28085
0004-IGKFF;Yes;Male;1;Yes;No;13;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;980;123785
0005-EXCHZ;Yes;Female;1;Yes;No;3;Yes;No;Fiber optic;No;No;No;Yes;Yes;No;Month-to-month;Yes;Mailed check;839;2674
0006-MHZWF;No;Female;0;No;Yes;9;Yes;No;DSL;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);694;57145
0007-SMEOE;No;Female;1;Yes;No;71;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);1097;790425
0008-BMAQU;No;Male;0;Yes;No;63;Yes;Yes;Fiber optic;Yes;No;No;Yes;No;No;Two year;Yes;Credit card (automatic);8465;53778
0009-UOCOJ;No;Female;1;No;No;7;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;482;34035
0010-QLJIS;No;Female;0;Yes;Yes;65;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Mailed check;9045;59579
0011-DINOC;No;Male;0;No;No;54;No;No phone service;DSL;Yes;No;No;Yes;Yes;No;Two year;No;Credit card (automatic);452;246055
0012-IUDMW;No;Female;0;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);1168;845675
0013-NYROU;No;Female;0;Yes;No;5;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;6895;3515
0014-EFAEP;No;Female;0;No;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;No;Two year;Yes;Bank transfer (automatic);1013;726125
0015-GFNTW;No;Female;0;No;No;56;No;No phone service;DSL;Yes;Yes;Yes;Yes;No;No;Two year;No;Bank transfer (automatic);4505;25601
0016-INWCK;No;Female;0;Yes;Yes;71;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;Yes;Two year;Yes;Credit card (automatic);9575;68494
0017-JDNXP;No;Female;0;Yes;Yes;34;No;No phone service;DSL;Yes;No;Yes;Yes;Yes;Yes;One year;No;Mailed check;6125;19932
